Category,Name of AI App,Weblink to the AI App,Icon
Agentic AI,Gemini Agents $,https://gemini.google.com/app,https://www.google.com/s2/favicons?domain=google.com&sz=128
Agentic AI,Devin $,https://cognition.ai,https://www.google.com/s2/favicons?domain=cognition.ai&sz=128
Agentic AI,MultiOn $,https://multion.ai,https://www.google.com/s2/favicons?domain=multion.ai&sz=128
Agentic AI,Microsoft Copilot Studio $,https://microsoft.com/copilot,https://www.google.com/s2/favicons?domain=microsoft.com&sz=128
Agentic AI,OpenAI Operator $,https://openai.com,https://www.google.com/s2/favicons?domain=openai.com&sz=128
Agentic AI,Adept AI $,https://adept.ai,https://www.google.com/s2/favicons?domain=adept.ai&sz=128
Agentic AI,CrewAI,https://crewai.com,https://www.google.com/s2/favicons?domain=crewai.com&sz=128
Agentic AI,AutoGPT,https://agpt.co,https://www.google.com/s2/favicons?domain=agpt.co&sz=128
Text & Chat,Gemini Advanced $,https://gemini.google.com,https://www.google.com/s2/favicons?domain=gemini.google.com&sz=128
Text & Chat,ChatGPT Plus $,https://chatgpt.com,https://www.google.com/s2/favicons?domain=chatgpt.com&sz=128
Text & Chat,Claude Pro $,https://claude.ai,https://www.google.com/s2/favicons?domain=claude.ai&sz=128
Text & Chat,Meta AI,https://meta.ai,https://www.google.com/s2/favicons?domain=meta.ai&sz=128
Text & Chat,Grok $,https://x.com/i/grok,https://www.google.com/s2/favicons?domain=x.com&sz=128
Text & Chat,Pi AI,https://pi.ai,https://www.google.com/s2/favicons?domain=pi.ai&sz=128
Text & Chat,Jasper $,https://jasper.ai,https://www.google.com/s2/favicons?domain=jasper.ai&sz=128
Text & Chat,Copy.ai $,https://copy.ai,https://www.google.com/s2/favicons?domain=copy.ai&sz=128
Image Generation,Nano Banana 2 (Gemini) $,https://gemini.google.com,https://www.google.com/s2/favicons?domain=google.com&sz=128
Image Generation,Midjourney $,https://midjourney.com,https://www.google.com/s2/favicons?domain=midjourney.com&sz=128
Image Generation,Adobe Firefly $,https://firefly.adobe.com,https://www.google.com/s2/favicons?domain=adobe.com&sz=128
Image Generation,Leonardo.ai $,https://leonardo.ai,https://www.google.com/s2/favicons?domain=leonardo.ai&sz=128
Image Generation,Ideogram $,https://ideogram.ai,https://www.google.com/s2/favicons?domain=ideogram.ai&sz=128
Image Generation,Canva Magic Media $,https://canva.com,https://www.google.com/s2/favicons?domain=canva.com&sz=128
Image Generation,Civitai,https://civitai.com,https://www.google.com/s2/favicons?domain=civitai.com&sz=128
Image Generation,Freepik AI $,https://freepik.com,https://www.google.com/s2/favicons?domain=freepik.com&sz=128
Video Generation,Veo (Gemini) $,https://gemini.google.com,https://www.google.com/s2/favicons?domain=google.com&sz=128
Video Generation,Sora $,https://openai.com/sora,https://www.google.com/s2/favicons?domain=openai.com&sz=128
Video Generation,Runway Gen-3 $,https://runwayml.com,https://www.google.com/s2/favicons?domain=runwayml.com&sz=128
Video Generation,Luma Dream Machine $,https://lumalabs.ai,https://www.google.com/s2/favicons?domain=lumalabs.ai&sz=128
Video Generation,Pika $,https://pika.art,https://www.google.com/s2/favicons?domain=pika.art&sz=128
Video Generation,HeyGen $,https://heygen.com,https://www.google.com/s2/favicons?domain=heygen.com&sz=128
Video Generation,Synthesia $,https://synthesia.io,https://www.google.com/s2/favicons?domain=synthesia.io&sz=128
Video Generation,InVideo AI $,https://invideo.io,https://www.google.com/s2/favicons?domain=invideo.io&sz=128
Audio & Music,Lyria 3 (Gemini) $,https://gemini.google.com,https://www.google.com/s2/favicons?domain=google.com&sz=128
Audio & Music,Suno V4 $,https://suno.com,https://www.google.com/s2/favicons?domain=suno.com&sz=128
Audio & Music,Udio $,https://udio.com,https://www.google.com/s2/favicons?domain=udio.com&sz=128
Audio & Music,ElevenLabs $,https://elevenlabs.io,https://www.google.com/s2/favicons?domain=elevenlabs.io&sz=128
Audio & Music,Murf AI $,https://murf.ai,https://www.google.com/s2/favicons?domain=murf.ai&sz=128
Audio & Music,Speechify $,https://speechify.com,https://www.google.com/s2/favicons?domain=speechify.com&sz=128
Audio & Music,Descript $,https://descript.com,https://www.google.com/s2/favicons?domain=descript.com&sz=128
Audio & Music,Soundraw $,https://soundraw.io,https://www.google.com/s2/favicons?domain=soundraw.io&sz=128
Productivity,Google Workspace AI $,https://workspace.google.com,https://www.google.com/s2/favicons?domain=google.com&sz=128
Productivity,Microsoft Copilot $,https://copilot.microsoft.com,https://www.google.com/s2/favicons?domain=microsoft.com&sz=128
Productivity,Notion AI $,https://notion.so,https://www.google.com/s2/favicons?domain=notion.so&sz=128
Productivity,Grammarly GO $,https://grammarly.com,https://www.google.com/s2/favicons?domain=grammarly.com&sz=128
Productivity,Otter.ai $,https://otter.ai,https://www.google.com/s2/favicons?domain=otter.ai&sz=128
Productivity,Gamma $,https://gamma.app,https://www.google.com/s2/favicons?domain=gamma.app&sz=128
Productivity,Zapier Central $,https://zapier.com,https://www.google.com/s2/favicons?domain=zapier.com&sz=128
Productivity,Beautiful.ai $,https://beautiful.ai,https://www.google.com/s2/favicons?domain=beautiful.ai&sz=128
Search & Research,Google AI Overviews,https://google.com,https://www.google.com/s2/favicons?domain=google.com&sz=128
Search & Research,Perplexity $,https://perplexity.ai,https://www.google.com/s2/favicons?domain=perplexity.ai&sz=128
Search & Research,Consensus $,https://consensus.app,https://www.google.com/s2/favicons?domain=consensus.app&sz=128
Search & Research,You.com $,https://you.com,https://www.google.com/s2/favicons?domain=you.com&sz=128
Search & Research,Elicit $,https://elicit.com,https://www.google.com/s2/favicons?domain=elicit.com&sz=128
Search & Research,Scholarcy $,https://scholarcy.com,https://www.google.com/s2/favicons?domain=scholarcy.com&sz=128
Search & Research,SciSpace $,https://typeset.io,https://www.google.com/s2/favicons?domain=typeset.io&sz=128
Search & Research,Andi Search,https://andisearch.com,https://www.google.com/s2/favicons?domain=andiai.com&sz=128
Coding & Dev,Gemini Code Assist $,https://cloud.google.com/products/gemini,https://www.google.com/s2/favicons?domain=google.com&sz=128
Coding & Dev,GitHub Copilot $,https://github.com/features/copilot,https://www.google.com/s2/favicons?domain=github.com&sz=128
Coding & Dev,Cursor $,https://cursor.com,https://www.google.com/s2/favicons?domain=cursor.com&sz=128
Coding & Dev,Codeium $,https://codeium.com,https://www.google.com/s2/favicons?domain=codeium.com&sz=128
Coding & Dev,Replit AI $,https://replit.com,https://www.google.com/s2/favicons?domain=replit.com&sz=128
Coding & Dev,Claude Artifacts $,https://claude.ai,https://www.google.com/s2/favicons?domain=claude.ai&sz=128
Coding & Dev,Tabnine $,https://tabnine.com,https://www.google.com/s2/favicons?domain=tabnine.com&sz=128
Coding & Dev,Bolt.new $,https://bolt.new,https://www.google.com/s2/favicons?domain=bolt.new&sz=128
